question_id,answer,question
1,في القرن السابع، في عام 647 م,في أي قرن تم الفتح الإسلامي لبلاد المغرب
2,سنة 859 م,في أي سنة تأسست جامعة القرويين؟
3,1953 م,متى تم نفي الملك محمد الخامس
4,"الأدارسة , المرابطون , الموحدية, الوطاسية, السعدية , العلوية ",ماهي الدول التي حكمت المغرب
5,1956,في أي عام حصل المغرب على الإستقلال
6,فرنسا واسبانيا و البرتغال,ماهي الدول التي استعمرت المغرب
7,إدريس الأول,من هو أول سلاطين دولة الأدارسة
8,يوسف ابن تاشفين,من هو أول سلاطين دولة المرابطين
9,أبو عبد الله محمد القائم بأمر الله,من هو أول سلاطين دولة السعديين
10,1961,متى تولى الملك الحسن الثاني حكم المغرب
